bug_id,pr_number,title,author,created,closed,labels
8365190,27041,8365190: Remove LockingMode related code from share,fbredber,2025-09-02,2025-09-08,integrated|serviceability|hotspot|shenandoah|graal
8366660,27042,8366660: Sort share/nmt includes,fandreuz,2025-09-02,2025-09-03,integrated|hotspot-runtime
8366537,27043,"8366537: Test ""java/util/TimeZone/DefaultTimeZoneTest.java"" is not updating the zone ID as expected",Vanitha-bp,2025-09-02,2025-09-03,integrated|core-libs|i18n
8366666,27044,8366666: Bump timeout on StressAsyncUL,lkorinth,2025-09-02,2025-09-02,integrated|hotspot-runtime
8366490,27045,8366490: C2 SuperWord: wrong result because CastP2X is missing ctrl and floats over SafePoint creating stale oops,eme64,2025-09-02,2025-09-04,integrated|hotspot-compiler
8366678,27046,8366678: Use JUnit in test/langtools/tools/javac,sormuras,2025-09-02,2025-09-22,integrated|compiler
8363966,27047,8363966: GHA: Switch cross-compiling sysroots to Debian trixie,shipilev,2025-09-02,2025-09-03,integrated|build
8366688,27048,8366688: G1: Rename G1HeapRegionRemSet::is_added_to_cset_group() to has_cset_group(),tschatzl,2025-09-02,2025-09-04,integrated|hotspot-gc
8366691,27049,8366691: JShell should support a more convenient completion,lahodaj,2025-09-02,2025-11-12,integrated|compiler
8366693,27050,8366693: Backout recent JavaLangAccess changes breaking the build,vy,2025-09-02,2025-09-02,integrated|nio|core-libs|security
8366434,27051,8366434: THP not working properly with G1 after JDK-8345655,kstefanj,2025-09-02,2025-09-04,integrated|hotspot
8366692,27052,8366692: Several gc/shenandoah tests timed out,sendaoYan,2025-09-02,2025-09-04,integrated|hotspot-gc|shenandoah
8366486,27053,8366486: Test jdk/jfr/event/profiling/TestCPUTimeSampleMultipleRecordings.java is timing out,parttimenerd,2025-09-02,2025-09-09,integrated|hotspot-jfr
8366694,27055,8366694: Test JdbStopInNotificationThreadTest.java timed out after 60 second,sendaoYan,2025-09-02,2025-09-04,integrated|serviceability
8366702,27056,8366702: C2 SuperWord: refactor VTransform vector nodes,eme64,2025-09-02,2025-09-11,integrated|hotspot-compiler
8366704,27057,8366704: Bump timeout on TestInheritFD,lkorinth,2025-09-02,2025-09-02,integrated|hotspot-runtime
8344345,27058,8344345: test/hotspot/gtest/x86/x86-asmtest.py has trailing whitespaces,kirill-shirokov,2025-09-02,2025-12-29,integrated|hotspot-compiler
8366461,27059,8366461: Remove obsolete method handle invoke logic,dean-long,2025-09-02,2025-10-02,integrated|serviceability|hotspot|graal
8366517,27060,8366517: Refine null locale processing of ctor/factory methods in `Date/DecimalFormatSymbols`,naotoj,2025-09-02,2025-09-05,integrated|core-libs|i18n
8300080,27061,8300080: offset_of for GCC/Clang exhibits undefined behavior and is not always a compile-time constant,kimbarrett,2025-09-02,2025-09-04,integrated|build|hotspot
8155591,27062,8155591: Misleading warning when not overriding close method in interface extending AutoCloseable,archiecobbs,2025-09-02,2025-11-06,integrated|compiler
8361699,27063,8361699: C2: assert(can_reduce_phi(n->as_Phi())) failed: Sanity: previous reducible Phi is no longer reducible before SUT,JohnTortugo,2025-09-03,2025-09-17,integrated|hotspot-compiler
8366695,27064,8366695: Test sun/jvmstat/monitor/MonitoredVm/MonitorVmStartTerminate.java timed out,sendaoYan,2025-09-03,2025-09-04,integrated|serviceability
8351260,27065,8351260: java.lang.AssertionError: Unexpected type tree: (ERROR) = (ERROR),lahodaj,2025-09-03,2025-09-08,integrated|compiler
8366768,27066,8366768: Problemlist jdk/jshell/ToolSimpleTest.java,sendaoYan,2025-09-03,2025-09-03,integrated|compiler
8366778,27067,"8366778: Sort share/asm, share/gc, share/include includes",fandreuz,2025-09-03,2025-09-04,integrated|hotspot|shenandoah
8366781,27068,8366781: Parallel: Include OS free memory in GC selection heuristics,albertnetymk,2025-09-03,2025-10-27,integrated|hotspot-gc
8366803,27070,8366803: Bump timeout on sun/tools/jhsdb/BasicLauncherTest.java,lkorinth,2025-09-03,2025-09-03,integrated|serviceability|core-libs
8366809,27072,8366809: JFR: Use factory for aggregator functions,egahlin,2025-09-03,2025-09-23,integrated|hotspot-jfr
8366777,27073,8366777: Build fails unknown pseudo-op with old AS on linux-aarch64,sendaoYan,2025-09-03,2025-09-17,integrated|build
8348862,27074,8348862: runtime/ErrorHandling/CreateCoredumpOnCrash fails on Windows aarch64,swesonga,2025-09-03,2025-10-10,integrated|hotspot-runtime
8365205,27075,8365205: C2: Optimize popcount value computation using knownbits,jatin-bhateja,2025-09-03,2025-10-14,integrated|hotspot-compiler
8366817,27076,8366817: test/jdk/javax/net/ssl/TLSCommon/interop/JdkProcServer.java and JdkProcClient.java should not delete logs,fguallini,2025-09-03,2025-11-04,integrated|security
8366836,27077,8366836: Don't execute post-IncludeCustomExtension if file was not included,magicus,2025-09-03,2025-09-04,integrated|build
8366837,27078,8366837: Clean up gensrc by spp.Spp,magicus,2025-09-03,2025-09-08,integrated|build|core-libs|i18n
8365626,27079,8365626: (fs) Improve handling of broken links in Files.isSameFile() (win),bplb,2025-09-04,2025-09-19,integrated|nio
8366847,27080,8366847: JFR reports incorrect number of cores on hybrid CPU,YaSuenag,2025-09-04,2025-10-10,integrated|hotspot|hotspot-jfr
8366833,27081,8366833: Poly1305 does not always correctly update position for array-backed ByteBuffers after processMultipleBlocks,jnimeh,2025-09-04,2025-09-12,integrated|security
8366849,27082,8366849: Problemlist jdk/jshell/ToolSimpleTest.java as generic-all,sendaoYan,2025-09-04,2025-09-04,integrated|compiler
8356779,27083,8356779: IGV: dump the index of the SafePointNode containing the current JVMS during parsing,sarannat,2025-09-04,2025-09-17,integrated|hotspot-compiler
8366765,27084,8366765: [REDO] Rename JavaLangAccess::*NoRepl methods,vy,2025-09-04,2025-09-05,integrated|nio|core-libs|security
8366750,27085,8366750: Remove test 'java/awt/Choice/ChoiceMouseWheelTest/ChoiceMouseWheelTest.java' from problemlist,TheSarveshJain,2025-09-04,2025-09-05,integrated|client
8366854,27086,8366854: Extend jtreg failure handler with THP info,stefank,2025-09-04,2025-09-09,integrated|hotspot|core-libs
