bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,117,Mutator may fail to evacuate,kdnilsen,2022-02-22,2022-02-22,integrated,Amazon,US,0,earthling-amzn
,118,Generational ShenandoahGC on PPC64,TheRealMDoerr,2022-02-22,2022-03-17,integrated,SAP,DE,23,kdnilsen
,119,Clear cards for old regions when they are put into service,earthling-amzn,2022-02-23,2022-02-23,integrated,Amazon,US,0,kdnilsen
,120,Remove young generation access to old generation mark queues earlier,earthling-amzn,2022-02-28,2022-03-01,integrated,Amazon,US,1,kdnilsen
,121,Reset update watermark for cycles degenerated during evacuation,earthling-amzn,2022-03-02,2022-03-02,integrated,Amazon,US,0,kdnilsen
,122,Age objects before installing forwarding pointer to them,earthling-amzn,2022-03-04,2022-03-04,integrated,Amazon,US,0,kdnilsen
,124,Allow old collections to span degenerated young collections,earthling-amzn,2022-03-16,2022-03-16,integrated,Amazon,US,0,kdnilsen
,125,Global mark is not old mark,earthling-amzn,2022-03-21,2022-03-21,integrated,Amazon,US,0,kdnilsen
,126,Do not abort coalesce and fill during fullgc,kdnilsen,2022-03-21,2022-03-21,integrated,Amazon,US,0,earthling-amzn
,127,Balance evacuation,kdnilsen,2022-03-24,2022-03-24,integrated,Amazon,US,0,earthling-amzn
,129,Relax enforcement of evacuation budget,earthling-amzn,2022-04-05,2022-04-06,integrated,Amazon,US,1,kdnilsen
,130,Cool down regulator after request to start GC is accepted,earthling-amzn,2022-04-11,2022-04-12,integrated,Amazon,US,1,kdnilsen
,131,Improved timing reports,earthling-amzn,2022-04-13,2022-04-14,integrated,Amazon,US,1,kdnilsen
,132,Include mark worker performance in report for concurrent mark phase,earthling-amzn,2022-04-15,2022-04-15,integrated,Amazon,US,0,kdnilsen
,133,Fix concurrent mark worker timings,earthling-amzn,2022-04-19,2022-04-20,integrated,Amazon,US,1,kdnilsen
,134,Use state from collection set to know if mixed collection is in progress,earthling-amzn,2022-04-20,2022-04-20,integrated,Amazon,US,0,kdnilsen
,135,Only clear requested gc cause when it is handled,earthling-amzn,2022-04-22,2022-04-22,integrated,Amazon,US,0,kdnilsen
,137,Include mixed and abbreviated cycle counts in summary report,earthling-amzn,2022-04-28,2022-04-29,integrated,Amazon,US,1,kdnilsen
,138,Allow regulator to schedule global cycles for the purpose of class unloading,earthling-amzn,2022-04-28,2022-04-29,integrated,Amazon,US,1,kdnilsen
