bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,changed_files,additions,deletions
8251842,145,8251842: rename ACC_VALUE to ACC_INLINE,hseigel,2020-08-14,2020-08-14,integrated,Oracle,CA,0,20,53,53
8251504,146,8251504: [lworld] Support empty inline classes without -XDallowEmptyValues,sadayapalam,2020-08-17,2020-08-17,integrated,Oracle,,0,20,47,51
8244513,147,8244513: [lworld] Typing of conditional expressions involving values.,sadayapalam,2020-08-17,2020-08-17,integrated,Oracle,,0,5,110,21
8244232,148,8244232: [lworld] Improve javadoc comments for various methods dealing with projection types,sadayapalam,2020-08-18,2020-08-18,integrated,Oracle,,0,2,21,3
8251940,150,8251940: [lworld] Incorrect Signature attribute in class file.,sadayapalam,2020-08-18,2020-08-18,integrated,Oracle,,0,2,55,3
8251442,151,8251442: [lworld] C2 compilation fails with assert(value->bottom_type()->higher_equal(_type)),TobiHartmann,2020-08-18,2020-08-18,integrated,Oracle,DE,0,18,403,194
8251986,152,JDK-8251986: [lworld] implement Class::valueType and Class::referenceType in Java,mlchung,2020-08-18,2020-08-20,integrated,Oracle,US,2,5,155,74
8250764,153,8250764: [lworld] Merge JDK-8247697 in from mainline,rwestrel,2020-08-19,2020-08-20,integrated,Red Hat,FR,1,4,26,18
8252040,154,8252040: [lworld] Execute compiler unit tests in random order,TobiHartmann,2020-08-19,2020-08-31,integrated,Oracle,DE,12,12,192,176
8252061,155,JDK-8252061  [lword] Support Object::toString for inline type,mlchung,2020-08-20,2020-08-25,integrated,Oracle,US,5,12,187,301
8250511,157,8250511: [lworld] C2 compilation crashes in PhaseIdealLoop::spinup,rwestrel,2020-08-20,2020-08-20,integrated,Red Hat,FR,0,1,3,3
8252112,158,8252112: [lworld] Deoptimization fails when trying to re-assign empty inline type elements of a flattened array,TobiHartmann,2020-08-20,2020-08-21,integrated,Oracle,DE,1,2,19,0
8252111,159,8252111: [lworld] C2 intrinsic needs to handle unsafe access to non-flattened field of constant inline type holder,TobiHartmann,2020-08-20,2020-08-21,integrated,Oracle,DE,1,2,24,11
8252110,160,8252110: [lworld] C2 compilation crashes with SIGSEGV in AddPNode::Value,TobiHartmann,2020-08-20,2020-08-21,integrated,Oracle,DE,1,1,14,3
8252109,161,8252109: [lworld] C2 compilation fails with assert(!has_phi_inputs(region)) failed: already cloned with phis,TobiHartmann,2020-08-20,2020-08-21,integrated,Oracle,DE,1,1,0,1
,162,Merge jdk,MrSimms,2020-08-24,2020-08-24,integrated,Oracle,,0,435,11045,4427
8252227,163,8252227: [lworld] Merge of jdk-16+5 broke compiler/arraycopy/TestEliminateArrayCopy.java,TobiHartmann,2020-08-24,2020-08-24,integrated,Oracle,DE,0,1,1,0
,164,Merge jdk,MrSimms,2020-08-24,2020-08-24,integrated,Oracle,,0,1952,5331,6198
8244713,165,8244713: [lworld] V.ref class should not inadvertently carry over attributes from V.class,sadayapalam,2020-08-24,2020-08-24,integrated,Oracle,,0,2,252,0
8252299,166,8252299: [lworld] C2 compilation fails with assert(!use_ReduceInitialCardMarks()) failed: can only happen with card marking,TobiHartmann,2020-08-25,2020-08-26,integrated,Oracle,DE,1,11,45,30
8229897,167,8229897: [lworld] C1 should avoid allocation when reading a field from a flattened field,fparain,2020-08-26,2020-08-28,integrated,Oracle,,2,7,1296,32
,168,Merge jdk,MrSimms,2020-09-01,2020-09-01,integrated,Oracle,,0,1319,6164,4747
,169,Merge jdk,MrSimms,2020-09-01,2020-09-01,integrated,Oracle,,0,506,6138,2194
8252633,170,8252633: [lworld] Multiple compiler test failures after merging jdk-16+7,TobiHartmann,2020-09-01,2020-09-01,integrated,Oracle,DE,0,1,2,2
8252651,171,8252651: [lworld] Clear the instance klass mirror for inline type,MrSimms,2020-09-01,2020-09-01,integrated,Oracle,,0,1,1,1
8252650,172,8252650: [lworld] Merge of jdk-16+8 breaks debug build GC gc/TestObjectAlignment.java,MrSimms,2020-09-01,2020-09-01,integrated,Oracle,,0,1,0,1
,173,Merge jdk,MrSimms,2020-09-02,2020-09-02,integrated,Oracle,,0,1368,4440,3600
,174,Merge jdk,MrSimms,2020-09-02,2020-09-02,integrated,Oracle,,0,1324,2786,2068
,175,Merge jdk,MrSimms,2020-09-02,2020-09-02,integrated,Oracle,,0,267,6781,3133
,176,Merge jdk,MrSimms,2020-09-03,2020-09-03,integrated,Oracle,,0,335,7503,4540
,177,Merge jdk,MrSimms,2020-09-03,2020-09-03,integrated,Oracle,,0,436,6877,1935
8252506,178,8252506: [lworld] Multiple issues with C2's arraycopy intrinsic,TobiHartmann,2020-09-04,2020-09-08,integrated,Oracle,DE,4,11,990,146
8252753,179,8252753: [lworld] Merge of jdk-16+12 broke CDS for inline types,iklam,2020-09-06,2020-09-06,integrated,Oracle,US,0,2,29,11
8252854,180,8252854: [lworld] Buffering in C1 entry can trigger safepoint before nmethod entry barrier has been executed,TobiHartmann,2020-09-07,2020-09-07,integrated,Oracle,DE,0,1,7,2
8252862,181,8252862: [lworld] Accidentally disabled fix for JDK-8252110,TobiHartmann,2020-09-07,2020-09-07,integrated,Oracle,DE,0,1,1,1
,182,Merge jdk,MrSimms,2020-09-09,2020-09-09,integrated,Oracle,,0,935,13003,6157
,183,Merge jdk,MrSimms,2020-09-10,2020-09-10,integrated,Oracle,,0,360,8241,2040
8253006,184,8253006: [lworld] Incorrect debug information for fields of scalarized flat array,TobiHartmann,2020-09-10,2020-09-10,integrated,Oracle,DE,0,2,6,0
8235914,185,8235914: [lworld] Profile acmp bytecode,rwestrel,2020-09-11,2020-10-12,integrated,Red Hat,FR,31,44,1202,128
8253047,186,8253047: [lworld] C2 compilation fails with guarantee(sect->end() <= sect->limit()) failed: sanity,TobiHartmann,2020-09-11,2020-09-11,integrated,Oracle,DE,0,4,114,4
8253113,187,8253113: [lworld] [lw3] C1 should avoid copying element of flattened arrays when reading a sub-element,fparain,2020-09-14,2020-09-15,integrated,Oracle,,1,7,334,46
8253143,188,8253143: [lworld] Valhalla microbenchmarks bulk update,kuksenko,2020-09-15,2020-09-16,integrated,,,1,299,34058,10423
8253161,189,8253161: [lworld] C1's substitutability check should use andptr instead of andl for mark word,TobiHartmann,2020-09-15,2020-09-15,integrated,Oracle,DE,0,2,6,10
8249887,190,8249887: [lworld] [lw3] Inline types should have a single set of array klasses,fparain,2020-09-15,2020-09-15,integrated,Oracle,,0,6,31,72
,191,8253218 ClassFileParser hits assert(klass->access_flags().is_inline_t…,hseigel,2020-09-16,2020-09-17,integrated,Oracle,CA,1,3,278,2
,192,Merge jdk,MrSimms,2020-09-17,2020-09-18,integrated,Oracle,,1,440,10371,7776
,193,Relax jcheck,MrSimms,2020-09-18,2020-09-18,integrated,Oracle,,0,1,2,11
8253181,194,8253181: [lworld] Javac fails to properly handle inline class files with inner classes,sadayapalam,2020-09-22,2020-09-22,integrated,Oracle,,0,3,104,1
8253511,195,8253511: [lworld] ClassFileParser does not handle field type mismatch,fparain,2020-09-23,2020-09-23,integrated,Oracle,,0,3,106,1
,196,Merge jdk,MrSimms,2020-09-24,2020-09-24,integrated,Oracle,,0,360,6966,5592
8253592,197,8253592: [lworld] C2: Additional fixes for handling empty inline types,TobiHartmann,2020-09-24,2020-09-24,integrated,Oracle,DE,0,10,159,87
8253416,198,8253416: [lworld] C1: incorrect nestmate access to flattened field if nest-host is not loaded,TobiHartmann,2020-09-24,2020-09-28,integrated,Oracle,DE,4,15,1015,257
8253312,199,8253312: Enable JVM experiments in specialization under an opt-in mode,sadayapalam,2020-09-28,2020-09-28,integrated,Oracle,,0,17,308,22
8253663,200,8253663: [lworld] [lw3] TestJNIArrays crashes in jni_CreateSubElementSelector,fparain,2020-09-28,2020-09-28,integrated,Oracle,,0,1,5,4
8253744,201,8253744: [lworld] [lw3] Injected IdentityObject interface should not be hidden by the JVM,fparain,2020-09-28,2020-09-29,integrated,Oracle,,1,8,190,177
8253760,202,"8253760: [type-restrictions] Static inline fields are not ""erased"" to the ref type",sadayapalam,2020-09-29,2020-09-29,integrated,Oracle,,0,2,105,1
