bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,153,OMWorld: Remove JavaThread Sync Deflation Code,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,154,OMWorld: Cleanup ObjectSynchronizer::exit,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,155,OMWorld: Cleanup inflate,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,156,OMWorld: Cleanup ObjectSynchronizer::enter_fast_impl,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,157,OMWorld: Cleanup quick_enter,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,158,OMWorld: Fix javaVFrame::print_lock_info_on,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,159,OMWorld: ObjectMonitor:enter,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,160,OMWorld: Remove BasicLock* restrictions,xmas92,2024-04-22,2024-04-23,integrated,Oracle,SE,1,rkennke
,161,OMWorld: Cleanup ObjectMonitor::_header,xmas92,2024-04-22,2024-04-25,integrated,Oracle,SE,3,rkennke
,162,OMWorld: Cleanup BasicLock header,xmas92,2024-04-22,2024-04-25,integrated,Oracle,SE,3,stefank
,163,Parallel: fix size_given_klass,stefank,2024-04-23,2024-04-23,integrated,Oracle,SE,0,"xmas92,rkennke"
,164,Fix CompressedClassPointersEncodingScheme for aarch64 with -UseCOH,tstuefe,2024-04-23,2024-04-24,integrated,Red Hat,DE,1,"stefank,rkennke"
,165,Don't warn when UCOH is on by default,stefank,2024-04-24,2024-04-25,integrated,Oracle,SE,1,rkennke
,166,Disable UseCompressedOops tests for 32-bits JVMs,stefank,2024-04-24,2024-04-24,integrated,Oracle,SE,0,rkennke
8330631,167,8330631: Lilliput: Modify runtime/CompressedOops/CompressedClassPointers for tinycp,rkennke,2024-04-24,2024-04-26,integrated,Red Hat,CH,2,"stefank,tstuefe"
,168,OMWorld: Fix enter_for is_value_based bug,stefank,2024-04-24,2024-04-25,integrated,Oracle,SE,1,xmas92
,169,OMWorld: Add LightweightSynchronizer::quick_enter - fix incorrectly setup cache,xmas92,2024-04-24,2024-04-25,integrated,Oracle,SE,1,stefank
,170,Fix arrays-equals intrinsic on AArch64,rkennke,2024-04-24,2024-04-25,integrated,Red Hat,CH,1,xmas92
,172,Prepare for smaller-than-22-bit class pointers,tstuefe,2024-04-27,2024-06-19,integrated,Red Hat,DE,53,rkennke
,173,Exclude some tests from Lilliput which rely on array alignment,rkennke,2024-05-14,2024-05-16,integrated,Red Hat,CH,2,shipilev
,175,OMWorld: Decouple deflation and table sizing,xmas92,2024-05-23,2024-06-05,integrated,Oracle,SE,13,coleenp
,176,OMWorld: Remove OMRecursiveFastPath,xmas92,2024-05-23,2024-05-28,integrated,Oracle,SE,5,coleenp
,177,OMWorld: Spin Changes,xmas92,2024-05-23,2024-05-29,integrated,Oracle,SE,6,coleenp
,178,OMWorld: Cleanups,xmas92,2024-05-23,2024-05-28,integrated,Oracle,SE,5,coleenp
,179,Remove a couple LIGHTWEIGHT things from the legacy/monitor version of FastHashCode,coleenp,2024-05-25,2024-05-28,integrated,Oracle,US,3,xmas92
,181,Lilliput om world,coleenp,2024-05-31,2024-06-13,integrated,Oracle,US,13,xmas92
,183,"OMWorld: Removal of flags, general cleanups",xmas92,2024-06-20,2024-06-24,integrated,Oracle,SE,4,coleenp
