bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
8347062,174,8347062: [CRaC] Support checkpoint/restore in JDWP,TimPushkin,2025-01-08,2025-01-09,integrated,Azul,,1,
8347257,175,8347257: [CRaC] Checkpoint call may sometimes hang,TimPushkin,2025-01-08,2025-01-09,integrated,Azul,,1,rvansa
8347290,176,8347290: [CRaC] JVM log prevents checkpoint,TimPushkin,2025-01-08,2025-01-09,integrated,Azul,,1,rvansa
8347350,177,8347350: [CRaC] Support JRT FS FD,TimPushkin,2025-01-09,2025-01-09,integrated,Azul,,0,rvansa
8347355,178,8347355: [CRaC] Restore errors are not visible,TimPushkin,2025-01-09,2025-01-09,integrated,Azul,,0,rvansa
8347430,179,8347430: [CRaC] ContainerPidAdjustmentTest fails on WSL,TimPushkin,2025-01-10,2025-01-13,integrated,Azul,,3,rvansa
,180,Merge jdk:jdk-24+24,dimitryc,2025-01-10,2025-01-13,integrated,,,3,rvansa
8347514,181,8347514: [CRaC] Checkpoint fails with CheckUnhandledOops,TimPushkin,2025-01-13,2025-01-13,integrated,Azul,,0,rvansa
8347532,182,8347532: [CRaC] CRaCResetStartTime breaks cgroups caching,TimPushkin,2025-01-13,2025-01-13,integrated,Azul,,0,rvansa
8347551,183,8347551: [CRaC] CRaC-related VM options are not consistent,TimPushkin,2025-01-13,2025-01-14,integrated,Azul,,1,
,184,Merge jdk:jdk-24+25,dimitryc,2025-01-14,2025-01-17,integrated,,,3,rvansa
8347993,185,8347993: [CRaC] Assertion error in os::cleanup_memory(),TimPushkin,2025-01-17,2025-01-20,integrated,Azul,,3,
8347991,186,8347991: [CRaC] ContainerPidAdjustmentTest takes too long to run,TimPushkin,2025-01-17,2025-01-20,integrated,Azul,,3,rvansa
,187,Merge jdk:jdk-24+26,dimitryc,2025-01-20,2025-01-20,integrated,,,0,rvansa
,188,Merge jdk:jdk-24+27,dimitryc,2025-01-22,2025-02-12,integrated,,,21,TimPushkin
8348650,189,8348650: [CRaC] Limit heap size before checkpoint,TimPushkin,2025-01-27,2025-01-27,integrated,Azul,,0,rvansa
8348666,190,8348666: [CRaC] sun.nio.ch.Pollers does not handle checkpoint,TimPushkin,2025-01-27,2025-01-28,integrated,Azul,,1,rvansa
8348670,191,8348670: [CRaC] VirtualAllocCommitUncommitRecommit.java sometimes hangs,TimPushkin,2025-01-27,2025-01-28,integrated,Azul,,1,rvansa
8348674,192,8348674: [CRaC] Check whether CRaCRestoreFrom does exist,TimPushkin,2025-01-27,2025-01-28,integrated,Azul,,1,rvansa
8348869,193,8348869: [CRaC] Restore args are split by whitespaces incorrectly,TimPushkin,2025-01-28,2025-02-03,integrated,Azul,,6,rvansa
8348867,194,8348867: [CRaC] Simplify CPUFeatures code,TimPushkin,2025-01-28,2025-01-30,integrated,Azul,,2,rvansa
8348925,195,8348925: [CRaC] Automatic CRaC support for LinuxWatchService,TimPushkin,2025-01-29,2025-01-29,integrated,Azul,,0,rvansa
8348927,196,8348927: [CRaC] Handle boot-id not ending with newline,TimPushkin,2025-01-29,2025-02-03,integrated,Azul,,5,rvansa
8348929,197,8348929: [CRaC] Use /tmp for restore parameters storage,TimPushkin,2025-01-29,2025-01-30,integrated,Azul,,1,rvansa
