bug_id,pr_number,title,author,created,closed,labels,org,country,review_days,reviewers
,533,Rename quoteOp and quotedOp,mabbay,2025-08-27,2025-08-29,integrated,Oracle,,2,
,534,[hat] Enable padding in the codegen as an option for the iFace types and Schemas,jjfumero,2025-08-27,2025-08-27,integrated,Oracle,,0,
,535,Removing OpWrappers 1 of many,grfrost,2025-08-29,2025-08-29,integrated,Oracle,,0,
,536,Update ReflectMethods.BodyScanner.coerce to handle null targetType,mabbay,2025-08-29,2025-09-04,integrated,Oracle,,6,mcimadamore
,537,hat opwrapper removal round 2,grfrost,2025-08-30,2025-08-30,integrated,Oracle,,0,
,538,HAT remove OpWrapper round 3,grfrost,2025-08-30,2025-08-30,integrated,Oracle,,0,
,539,Hat remove opwrapper 4,grfrost,2025-09-01,2025-09-01,integrated,Oracle,,0,
,540,Hat remove opwrapper 5,grfrost,2025-09-01,2025-09-01,integrated,Oracle,,0,
,541,All OpWrappers now removed.  ,grfrost,2025-09-02,2025-09-02,integrated,Oracle,,0,
,542,Fix SSABraun bug and add SSA tests,rbrchen,2025-09-02,2025-09-11,integrated,,,9,PaulSandoz
,543,[hat][fix] create context with v4 function,jjfumero,2025-09-03,2025-09-03,integrated,Oracle,,0,
,544,hat cleanup after removing OpWrappers,grfrost,2025-09-03,2025-09-03,integrated,Oracle,,0,
,545,Add isQuotable attribute to LambdaOp,mabbay,2025-09-03,2025-09-15,integrated,Oracle,,12,PaulSandoz
,547,"Post OpWrapper cleanup, removed some experiments and fixed Violajones…",grfrost,2025-09-04,2025-09-04,integrated,Oracle,,0,
,548,Add buffer tagging and opt-out moduleOp backend,rbrchen,2025-09-04,2025-09-08,integrated,,,4,
,549,New Examples: Dialects and Dynamic Function Builds,jjfumero,2025-09-05,2025-09-12,integrated,Oracle,,7,
,550,The OpWrapper removal caused a regression extracting nested ifaces,grfrost,2025-09-05,2025-09-05,integrated,Oracle,,0,
,551,Patch to cleanup code gen issue foo.bar vs foo->bar for nested ifaces,grfrost,2025-09-05,2025-09-05,integrated,Oracle,,0,
,552,Hat cleanup codegen,grfrost,2025-09-06,2025-09-06,integrated,Oracle,,0,
,553,Hat more codegen cleanup,grfrost,2025-09-07,2025-09-07,integrated,Oracle,,0,
,554,Add sample annotation processor using code models,mcimadamore,2025-09-08,2025-09-12,integrated,Oracle,GB,4,PaulSandoz
,555,HAT more consistent use of scoped code builder context + removed initialization of KernelContext in kernels,grfrost,2025-09-08,2025-09-08,integrated,Oracle,,0,
,557,Fixes for cuda codegen issues,grfrost,2025-09-09,2025-09-09,integrated,Oracle,,0,
,558,Initial Testing Framework for HAT,jjfumero,2025-09-09,2025-09-10,integrated,Oracle,,1,
,559,Add local array support to BufferTagger,rbrchen,2025-09-09,2025-09-10,integrated,,,1,
,562,More codegen tweaks,grfrost,2025-09-11,2025-09-11,integrated,Oracle,,0,
,563,more codegen cleanup,grfrost,2025-09-11,2025-09-11,integrated,Oracle,,0,
,564,added tests to pom and intellij builds,grfrost,2025-09-11,2025-09-11,integrated,Oracle,,0,
,565,ONNX fixes,asotona,2025-09-12,2025-09-15,integrated,Oracle,CZ,3,PaulSandoz
,566,Update compiler tests to use JUnit instead of TestNG,mabbay,2025-09-12,2025-09-22,integrated,Oracle,,10,"PaulSandoz,mcimadamore"
,567,"Align build artifacts maven, @hat/bld and  hat/job.jar",grfrost,2025-09-14,2025-09-14,integrated,Oracle,,0,
,568,add ability to run tests from job.jar,grfrost,2025-09-14,2025-09-14,integrated,Oracle,,0,
,569,cleaned up test stanza of hat.java test,grfrost,2025-09-15,2025-09-15,integrated,Oracle,,0,
,571,ArrayView support for HAT kernels,rbrchen,2025-09-17,2025-09-26,integrated,,,9,
,572,added Emanuel Peter's normal mapping demo - not hatified yet,grfrost,2025-09-17,2025-09-17,integrated,Oracle,,0,
,574,Allow hat.java run to pass -DXXXX options when running,grfrost,2025-09-17,2025-09-17,integrated,Oracle,,0,
,577,Remove op name state from Op,PaulSandoz,2025-09-18,2025-09-23,integrated,Oracle,,5,mcimadamore
,578,Transform runtime test to JUnit,mabbay,2025-09-19,2025-09-26,integrated,Oracle,,7,"asotona,PaulSandoz"
,581,Remove the Op copy methods,PaulSandoz,2025-09-23,2025-09-30,integrated,Oracle,,7,
,582,[hat] Clean-up and formatting for HAT Dialect,jjfumero,2025-09-25,2025-09-25,integrated,Oracle,,0,
,583,[hat] Testing framework expanded ,jjfumero,2025-09-25,2025-09-26,integrated,Oracle,,1,
,584,"Replace methods ""create"" in Op subclasses by constructors",mabbay,2025-09-26,2025-10-30,integrated,Oracle,,34,PaulSandoz
,585,"Fixup maven, hat.java and hat/bld.java to include arrayview example",grfrost,2025-09-29,2025-09-29,integrated,Oracle,,0,
,586,Hat move config out from ffi backend so we can use from any hat program,grfrost,2025-09-29,2025-09-29,integrated,Oracle,,0,
,587,HAT - New examples for optimizing matmul,jjfumero,2025-09-30,2025-09-30,integrated,Oracle,,0,
,588,[hat][testing] Remote testing framework to pull all branches,jjfumero,2025-09-30,2025-09-30,integrated,Oracle,,0,
,589,Hat move config to core,grfrost,2025-10-01,2025-10-01,integrated,Oracle,,0,
,590,[hat] Example of HAT for 2D Matmul with register tiling,jjfumero,2025-10-01,2025-10-01,integrated,Oracle,,0,
,591,[hat] Fix cuda set context,jjfumero,2025-10-01,2025-10-01,integrated,Oracle,,0,
,592,[hat] rollback CUDA specific scheduler,jjfumero,2025-10-01,2025-10-01,integrated,Oracle,,0,
,593,initial prototype of prefix sum experiment,grfrost,2025-10-01,2025-10-01,integrated,Oracle,,0,
,594,[hat] clean-up - removed duplicated sample,jjfumero,2025-10-01,2025-10-01,integrated,Oracle,,0,
,595,[hat] testing framework updated to use the new scripts,jjfumero,2025-10-02,2025-10-02,integrated,Oracle,,0,
,596,[hat] Remote tests script fixed + add ArrayViews,jjfumero,2025-10-02,2025-10-02,integrated,Oracle,,0,
,597,config now accessible from all backends,grfrost,2025-10-02,2025-10-02,integrated,Oracle,,0,
,598,hat.java now scans the tests.jar for tests to run,grfrost,2025-10-02,2025-10-02,integrated,Oracle,,0,
,599,Remove noModuleOp and bufferTagging flags,rbrchen,2025-10-02,2025-10-03,integrated,,,1,
,600,implemented preprocessor hook for OpenCL code gen,grfrost,2025-10-03,2025-10-03,integrated,Oracle,,0,
,601,cuda now also leverages c99 preprocessor,grfrost,2025-10-03,2025-10-03,integrated,Oracle,,0,
,602,converging cuda/opencl code gen using preprocessor,grfrost,2025-10-04,2025-10-04,integrated,Oracle,,0,
,603,CUDA and OpenCL C99 code now identical except for handling of atomics,grfrost,2025-10-04,2025-10-04,integrated,Oracle,,0,
,604,[hat][docs] Some useful links added,jjfumero,2025-10-06,2025-10-06,integrated,Oracle,,0,
,606,Proposal for Vector Types for GPUs (OpenCL and CUDA backends),jjfumero,2025-10-09,2025-10-14,integrated,Oracle,,5,
,607,Add private and local arrayView support,rbrchen,2025-10-10,2025-10-14,integrated,,,4,
,608,Decouple example-experiments from opencl + add example_arrayview to intellij,grfrost,2025-10-15,2025-10-15,integrated,Oracle,,0,
,609,Updated Config,grfrost,2025-10-15,2025-10-15,integrated,Oracle,,0,
,610,Update buffer tagging with arrayview support,rbrchen,2025-10-15,2025-10-24,integrated,,,9,
,611,[hat] KernelContext from the hat.buffer package renamed to KernelBufferContext,jjfumero,2025-10-16,2025-10-16,integrated,Oracle,,0,
,612,Hat add kernel code annotation,grfrost,2025-10-16,2025-10-16,integrated,Oracle,,0,
,613,Fixed merge issues from last PR,grfrost,2025-10-16,2025-10-16,integrated,Oracle,,0,
,614,OnnxProtoBuilder fixes,asotona,2025-10-16,2025-10-17,integrated,Oracle,CZ,1,
,615,Moved  dialect and arrayview transforms to KernelCallGraph constructor,grfrost,2025-10-16,2025-10-16,integrated,Oracle,,0,
,616,[hat] Testing framework moved to hat.test,jjfumero,2025-10-17,2025-10-17,integrated,Oracle,,0,
,617,[hat] Runner for a single test,jjfumero,2025-10-17,2025-10-17,integrated,Oracle,,0,
