jep_number,title,status,target_version,owner
403,Strongly Encapsulate JDK Internals,Closed / Delivered,17,Mark Reinhold
404,Generational Shenandoah (Experimental),Closed / Delivered,24,William Kemper
405,Record Patterns (Preview),Closed / Delivered,19,Gavin Bierman
406,Pattern Matching for switch (Preview),Closed / Delivered,17,Gavin Bierman
407,Remove RMI Activation,Closed / Delivered,17,Stuart Marks
408,Simple Web Server,Closed / Delivered,18,Julia Boes
409,Sealed Classes,Closed / Delivered,17,Gavin Bierman
410,Remove the Experimental AOT and JIT Compiler,Closed / Delivered,17,Vladimir Kozlov
411,Deprecate the Security Manager for Removal,Closed / Delivered,17,Sean Mullan
412,Foreign Function & Memory API (Incubator),Closed / Delivered,17,Maurizio Cimadamore
413,Code Snippets in Java API Documentation,Closed / Delivered,18,Pavel Rappo
414,Vector API (Second Incubator),Closed / Delivered,17,Paul Sandoz
415,Context-Specific Deserialization Filters,Closed / Delivered,17,Roger Riggs
416,Reimplement Core Reflection with Method Handles,Closed / Delivered,18,Mandy Chung
417,Vector API (Third Incubator),Closed / Delivered,18,Paul Sandoz
418,Internet-Address Resolution SPI,Closed / Delivered,18,Aleksej Efimov
419,Foreign Function & Memory API (Second Incubator),Closed / Delivered,18,Maurizio Cimadamore
420,Pattern Matching for switch (Second Preview),Closed / Delivered,18,Gavin Bierman
421,Deprecate Finalization for Removal,Closed / Delivered,18,Brent Christian
422,Linux/RISC-V Port,Closed / Delivered,19,Fei Yang
423,Region Pinning for G1,Closed / Delivered,22,Thomas Schatzl
424,Foreign Function & Memory API (Preview),Closed / Delivered,19,Maurizio Cimadamore
425,Virtual Threads (Preview),Closed / Delivered,19,Alan Bateman
426,Vector API (Fourth Incubator),Closed / Delivered,19,Paul Sandoz
427,Pattern Matching for switch (Third Preview),Closed / Delivered,19,Gavin Bierman
428,Structured Concurrency (Incubator),Closed / Delivered,19,Alan Bateman
429,Scoped Values (Incubator),Closed / Delivered,20,Andrew Haley
430,String Templates (Preview),Closed / Delivered,21,Jim Laskey
431,Sequenced Collections,Closed / Delivered,21,Stuart Marks
432,Record Patterns (Second Preview),Closed / Delivered,20,Gavin Bierman
433,Pattern Matching for switch (Fourth Preview),Closed / Delivered,20,Gavin Bierman
434,Foreign Function & Memory API (Second Preview),Closed / Delivered,20,Maurizio Cimadamore
435,Asynchronous Stack Trace VM API,Closed / Withdrawn,,Johannes Bechberger
436,Virtual Threads (Second Preview),Closed / Delivered,20,Alan Bateman
437,Structured Concurrency (Second Incubator),Closed / Delivered,20,Alan Bateman
438,Vector API (Fifth Incubator),Closed / Delivered,20,Paul Sandoz
439,Generational ZGC,Closed / Delivered,21,Stefan Karlsson
440,Record Patterns,Closed / Delivered,21,Gavin Bierman
441,Pattern Matching for switch,Closed / Delivered,21,Gavin Bierman
442,Foreign Function & Memory API (Third Preview),Closed / Delivered,21,Maurizio Cimadamore
443,Unnamed Patterns and Variables (Preview),Closed / Delivered,21,Angelos Bimpoudis
444,Virtual Threads,Closed / Delivered,21,Alan Bateman
445,Unnamed Classes and Instance Main Methods (Preview),Closed / Delivered,21,Jim Laskey
446,Scoped Values (Preview),Closed / Delivered,21,Andrew Haley
447,Statements before super(...) (Preview),Closed / Delivered,22,Archie Cobbs
448,Vector API (Sixth Incubator),Closed / Delivered,21,Paul Sandoz
449,Deprecate the Windows 32-bit x86 Port for Removal,Closed / Delivered,21,George Adams
450,Compact Object Headers (Experimental),Closed / Delivered,24,Roman Kennke
451,Prepare to Disallow the Dynamic Loading of Agents,Closed / Delivered,21,Ron Pressler
452,Key Encapsulation Mechanism API,Closed / Delivered,21,Weijun Wang
453,Structured Concurrency (Preview),Closed / Delivered,21,Alan Bateman
454,Foreign Function & Memory API,Closed / Delivered,22,Maurizio Cimadamore
455,"Primitive Types in Patterns, instanceof, and switch (Preview)",Closed / Delivered,23,Angelos Bimpoudis
456,Unnamed Variables & Patterns,Closed / Delivered,22,Angelos Bimpoudis
457,Class-File API (Preview),Closed / Delivered,22,Adam Sotona
458,Launch Multi-File Source-Code Programs,Closed / Delivered,22,Ron Pressler
459,String Templates (Second Preview),Closed / Delivered,22,Jim Laskey
460,Vector API (Seventh Incubator),Closed / Delivered,22,Paul Sandoz
461,Stream Gatherers (Preview),Closed / Delivered,22,Viktor Klang
462,Structured Concurrency (Second Preview),Closed / Delivered,22,Alan Bateman
463,Implicitly Declared Classes and Instance Main Methods (Second Preview),Closed / Delivered,22,Jim Laskey
464,Scoped Values (Second Preview),Closed / Delivered,22,Andrew Haley
465,String Templates (Third Preview),Closed / Withdrawn,,Gavin Bierman
466,Class-File API (Second Preview),Closed / Delivered,23,Adam Sotona
467,Markdown Documentation Comments,Closed / Delivered,23,Jonathan Gibbons
468,Derived Record Creation (Preview),Candidate,,Gavin Bierman
469,Vector API (Eighth Incubator),Closed / Delivered,23,Paul Sandoz
470,PEM Encodings of Cryptographic Objects (Preview),Closed / Delivered,25,Anthony Scarpino
471,Deprecate the Memory-Access Methods in sun.misc.Unsafe for Removal,Closed / Delivered,23,Ron Pressler
472,Prepare to Restrict the Use of JNI,Closed / Delivered,24,Ron Pressler
473,Stream Gatherers (Second Preview),Closed / Delivered,23,Viktor Klang
474,ZGC: Generational Mode by Default,Closed / Delivered,23,Axel Boldt-Christmas
