username,full_name,jdk_role,other_projects
phh,Paul Hohensee,Reviewer,"hotspot: Member, vulnerability: Member"
pkbalakr,Prem Balakrishnan,Committer,
pkoppula,Prasadrao Koppula,Author,
plevart,Peter Levart,Reviewer,
pliden,Per Liden,Reviewer,hotspot: Member
pminborg,Per Minborg,Reviewer,"brisbane: Reviewer, core-libs: Member"
poonam,Poonam Bajaj,Committer,hotspot: Member
ppunegov,Pavel Punegov,Committer,
prappo,Pavel Rappo,Reviewer,
prr,Phil Race,Reviewer,"build: Member, client-libs: Lead, core-libs: Member, csr: Member, gb: Member"
psadhukhan,Prasanta Sadhukhan,Reviewer,client-libs: Member
psandoz,Paul Sandoz,Reviewer,"amber: Reviewer, babylon: Lead, core-libs: Member"
psonal,Pallavi Sonal,Author,
psoujanya,Pasam Soujanya,Author,
pstrawderman,Patrick Strawderman,Author,
ptbrunet,Pete Brunet,Committer,
pxie,Peng Xie,Author,
qamai,Quan Anh Mai,Reviewer,
qfeng,Qi Feng,Author,
qpzhang,Patrick Zhang,Author,
qxing,Qizheng Xing,Author,
rasbold,Chuck Rasbold,Reviewer,hotspot: Member
ravipatel,Ravi Patel,Author,
rbackman,Rickard Backman,Reviewer,hotspot: Member
rcastanedalo,Roberto Castaneda Lozano,Reviewer,hotspot: Member
rchamyal,Rajeev Chamyal,Committer,
rdurbin,Ron Durbin,Author,
redestad,Claes Redestad,Reviewer,"amber: Committer, code-tools: Committer, galahad: Committer"
rehn,Robbin Ehn,Reviewer,hotspot: Member
reinhapa,Patrick Reinhart,Author,
rfield,Robert Field,Reviewer,serviceability: Member
rfscholte,Robert Scholte,Author,
rgoel,Rachna Goel,Committer,i18n: Member
rgrigoriadi,Roman Grigoriadi,Author,
rgiulietti,Raffaello Giulietti,Reviewer,core-libs: Member
rgupta,Ravi Gupta,Author,
rhalade,Rajan Halade,Reviewer,
rhillegas,Rick Hillegas,Author,
rjernst,Ryan Ernst,Author,
rkannathpari,Renjith Kannath Pariyangad,Author,
rkennke,Roman Kennke,Reviewer,"aarch64-port: Committer, galahad: Committer, hotspot: Member"
rkkumar,Rohitash Kumar,Author,
rmahajan,Rajat Mahajan,Committer,
robilad,Dalibor Topic,Committer,"aarch32-port: Lead, aarch64-port: Lead, adoption: Lead, porters: Lead, vulnerability: Member"
robm,Rob McKenna,Committer,
roland,Roland Westrelin,Reviewer,"aarch64-port: Committer, galahad: Committer, hotspot: Member"
ronsh,Ron Shapiro,Author,
rpatil,Ramanand Patil,Committer,
rpressler,Ron Pressler,Committer,hotspot: Member
rprotacio,Rachel Protacio,Committer,
rraghavan,Rahul Raghavan,Committer,
rraj,Rohit Arul Raj,Author,
rreddy,Ravi Reddy,Author,
rrich,Richard Reingruber,Reviewer,hotspot: Member
rriggs,Roger Riggs,Reviewer,core-libs: Member
rschatz,Roland Schatz,Author,
rschmelter,Ralf Schmelter,Reviewer,
rschuenemann,Rene Schuenemann,Author,
rsoumadipta,Soumadipta Roy,Author,
rstevens,Robin Stevens,Author,
rstupp,Robert Stupp,Author,
rsunderbabu,Ramkumar Sunderbabu,Committer,
ruili,Rui Li,Author,
rvansa,Radim Vansa,Author,
rwallace,Ryan Wallace,Author,
rwestberg,Robin Westberg,Committer,ide-support: Member
ryadav,Rahul Yadav,Committer,
sacharya,Shruthi Acharya,Author,
sadayapalam,Srikanth Adayapalam,Reviewer,amber: Committer
sangheki,Sangheon Kim,Reviewer,hotspot: Member
sballal,Sharath Ballal,Committer,
